heldout_filename,heldout_audio_id,enrollment_count,enrollment_filenames,similarity_to_7song_centroid,similarity_to_medoid,nearest_confirmed_recording,nearest_similarity,rank_among_non_enrollment,margin_vs_nearest_non_target,verification_decision,match_threshold,nonmatch_threshold
drowning.m4a,5fdfa9eb73e5,7,movie.m4a;거의동115.m4a;거의동116.m4a;거의동117.m4a;좋은사람.m4a;요즘 바쁜가봐.m4a;bluemoon.m4a,0.8413641452789307,0.821627140045166,거의동116.m4a,0.8596420288085938,2,-0.025523066520690918,MATCH,0.72,0.55
movie.m4a,6fb8c8208c80,7,drowning.m4a;거의동115.m4a;거의동116.m4a;거의동117.m4a;좋은사람.m4a;요즘 바쁜가봐.m4a;bluemoon.m4a,0.8106120824813843,0.7379179000854492,거의동117.m4a,0.760667085647583,2,-0.06272923946380615,MATCH,0.72,0.55
거의동115.m4a,d5045bc290a1,7,drowning.m4a;movie.m4a;거의동116.m4a;거의동117.m4a;좋은사람.m4a;요즘 바쁜가봐.m4a;bluemoon.m4a,0.8640244603157043,0.7867734432220459,거의동116.m4a,0.8314273357391357,1,0.0029737353324890137,MATCH,0.72,0.55
거의동116.m4a,3ced1f723c5e,7,drowning.m4a;movie.m4a;거의동115.m4a;거의동117.m4a;좋은사람.m4a;요즘 바쁜가봐.m4a;bluemoon.m4a,0.8907362222671509,0.8324278593063354,drowning.m4a,0.8596420288085938,1,0.03144806623458862,MATCH,0.72,0.55
거의동117.m4a,1387ae324719,7,drowning.m4a;movie.m4a;거의동115.m4a;거의동116.m4a;좋은사람.m4a;요즘 바쁜가봐.m4a;bluemoon.m4a,0.7784843444824219,0.6781781911849976,movie.m4a,0.760667085647583,2,-0.08306014537811279,MATCH,0.72,0.55
좋은사람.m4a,a7c957603751,7,drowning.m4a;movie.m4a;거의동115.m4a;거의동116.m4a;거의동117.m4a;요즘 바쁜가봐.m4a;bluemoon.m4a,0.8734714388847351,0.8180322647094727,요즘 바쁜가봐.m4a,0.8180322647094727,1,0.011691033840179443,MATCH,0.72,0.55
요즘 바쁜가봐.m4a,8156c1254947,7,drowning.m4a;movie.m4a;거의동115.m4a;거의동116.m4a;거의동117.m4a;좋은사람.m4a;bluemoon.m4a,0.8990130424499512,0.8324278593063354,거의동116.m4a,0.8324278593063354,1,0.04415410757064819,MATCH,0.72,0.55
bluemoon.m4a,5e7819c3abb4,7,drowning.m4a;movie.m4a;거의동115.m4a;거의동116.m4a;거의동117.m4a;좋은사람.m4a;요즘 바쁜가봐.m4a,0.7987816333770752,0.7908432483673096,요즘 바쁜가봐.m4a,0.7908432483673096,3,-0.05344879627227783,MATCH,0.72,0.55
