enrollment_size,n_evaluations,mean_heldout_similarity,min_heldout_similarity,median_heldout_similarity,top1_global_rate,verification_match_rate,uncertain_rate,nonmatch_rate
2,168,0.7996927804890133,0.6728216409683228,0.8083161115646362,0.13690476190476192,0.9285714285714286,0.07142857142857142,0.0
3,280,0.8197598891598837,0.6964564919471741,0.8260965943336487,0.175,0.9857142857142858,0.014285714285714285,0.0
4,280,0.8303531676530838,0.7162002325057983,0.8408248126506805,0.22142857142857142,0.9964285714285714,0.0035714285714285713,0.0
5,168,0.8368990953479495,0.7353999614715576,0.8494322896003723,0.25595238095238093,1.0,0.0,0.0
6,56,0.8413447184222085,0.7558147311210632,0.8535903990268707,0.3392857142857143,1.0,0.0,0.0
7,8,0.8445609211921692,0.7784843444824219,0.8526943027973175,0.5,1.0,0.0,0.0
