audio_id,concern_ids,primary_focus,protocol_id,practice_id,audit_status,finding_codes
10d07cc48c55,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
10d07cc48c55,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
1387ae324719,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
15f8e161f598,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
