filename,sim_drowning,sim_movie,sim_prototype,min_seed,gap,robust,status
거의동116.m4a,0.8596420288085938,0.7255123257637024,0.8729216456413269,0.7255123257637024,0.13412970304489136,0.775113645195961,HIGH_CANDIDATE
요즘 바쁜가봐.m4a,0.821627140045166,0.7379179000854492,0.8588190078735352,0.7379179000854492,0.0837092399597168,0.7746545076370239,HIGH_CANDIDATE
좋은사람.m4a,0.7834217548370361,0.7392047643661499,0.8384884595870972,0.7392047643661499,0.04421699047088623,0.7656940519809723,HIGH_CANDIDATE
거의동115.m4a,0.7486469149589539,0.7462134957313538,0.8231980800628662,0.7462134957313538,0.0024334192276000977,0.7619754254817963,HIGH_CANDIDATE
bluemoon.m4a,0.6929867267608643,0.6880462169647217,0.7605149745941162,0.6880462169647217,0.004940509796142578,0.703281044960022,HIGH_CANDIDATE
거의동117.m4a,0.6598426699638367,0.760667085647583,0.7822542786598206,0.6598426699638367,0.10082441568374634,0.6994486540555954,HIGH_CANDIDATE
I'llneverloveagain.m4a,0.7259367108345032,0.6622277498245239,0.7644422054290771,0.6622277498245239,0.06370896100997925,0.6922269850969315,HIGH_CANDIDATE
love again.m4a,0.6432746648788452,0.713957667350769,0.7474082708358765,0.6432746648788452,0.07068300247192383,0.67470383644104,HIGH_CANDIDATE
옥탑방.m4a,0.616790771484375,0.7462307214736938,0.750596284866333,0.616790771484375,0.12943994998931885,0.6629678666591645,HIGH_CANDIDATE
upload.webm · e8314e2d,0.4990786910057068,0.514394998550415,0.5581054091453552,0.4990786910057068,0.015316307544708252,0.5131814807653428,MEDIUM_CANDIDATE
upload.webm · 2c9d61eb,0.4964224696159363,0.5209819674491882,0.5602699518203735,0.4964224696159363,0.024559497833251953,0.5128758907318115,MEDIUM_CANDIDATE
호흡많고헤드.m4a,0.5712445974349976,0.4780716896057129,0.5778433680534363,0.4780716896057129,0.09317290782928467,0.5120019614696503,MEDIUM_CANDIDATE
upload.webm · ee4a74e0,0.5417563319206238,0.4809437394142151,0.5631861686706543,0.4809437394142151,0.06081259250640869,0.5065141141414642,MEDIUM_CANDIDATE
upload.webm · 983379d1,0.5953065156936646,0.449677050113678,0.5754574537277222,0.449677050113678,0.14562946557998657,0.4966775506734848,LOW_CANDIDATE
upload.webm · 5662e809,0.5264567136764526,0.4636395573616028,0.5452316999435425,0.4636395573616028,0.06281715631484985,0.4893805593252182,MEDIUM_CANDIDATE
기모그.m4a,0.5433077812194824,0.42941904067993164,0.5356667041778564,0.42941904067993164,0.11388874053955078,0.4677518844604492,LOW_CANDIDATE
목잡이.m4a,0.557833194732666,0.4215858280658722,0.5393519401550293,0.4215858280658722,0.13624736666679382,0.46557615548372266,LOW_CANDIDATE
upload.webm · d87efe3c,0.4238010048866272,0.5165488719940186,0.5178371667861938,0.4238010048866272,0.09274786710739136,0.4565204173326492,LOW_CANDIDATE
upload.webm · f17b7f4f,0.6059651970863342,0.3905017077922821,0.548740029335022,0.3905017077922821,0.21546348929405212,0.45446889549493785,CONFLICT
upload.webm · 07564b6d,0.4790855646133423,0.4293619394302368,0.5002689361572266,0.4293619394302368,0.04972362518310547,0.4510018825531006,LOW_CANDIDATE
편하게.m4a,0.5403106212615967,0.40749591588974,0.5219434499740601,0.40749591588974,0.1328147053718567,0.4503076285123825,LOW_CANDIDATE
Lyrics.mp3,0.36086446046829224,0.4853511452674866,0.4659987688064575,0.36086446046829224,0.12448668479919434,0.40056432485580445,LOW_CANDIDATE
upload.webm · 16b7e83c,0.39446964859962463,0.3910002112388611,0.4325469434261322,0.3910002112388611,0.00346943736076355,0.39982997328042985,LOW_CANDIDATE
upload.webm · a888cb14,0.39647215604782104,0.3874616026878357,0.43170103430747986,0.3874616026878357,0.009010553359985352,0.39766107201576234,LOW_CANDIDATE
가없너.m4a,0.4364728331565857,0.3727090656757355,0.4456048607826233,0.3727090656757355,0.06376376748085022,0.39685278981924055,LOW_CANDIDATE
편안세게.m4a,0.4958406686782837,0.345103919506073,0.46309608221054077,0.345103919506073,0.1507367491722107,0.3913128644227981,LOW_CANDIDATE
upload.webm · 90147c98,0.3535614013671875,0.45248377323150635,0.4438774585723877,0.3535614013671875,0.09892237186431885,0.3864629685878753,LOW_CANDIDATE
upload.wav · e8b8aa37,0.37090522050857544,0.3886030614376068,0.41825026273727417,0.37090522050857544,0.017697840929031372,0.3830289050936699,LOW_CANDIDATE
upload.webm · c01fc220,0.36998212337493896,0.38794663548469543,0.4173804223537445,0.36998212337493896,0.01796451210975647,0.3821564599871635,LOW_CANDIDATE
upload.webm · 0ea5487c,0.4149359166622162,0.36017701029777527,0.426843523979187,0.36017701029777527,0.05475890636444092,0.38172414898872375,LOW_CANDIDATE
upload.wav · 7b8c45cd,0.36917683482170105,0.38720327615737915,0.416527658700943,0.36917683482170105,0.0180264413356781,0.3813509657979012,LOW_CANDIDATE
upload.webm · 6b3aa0d0,0.4354035556316376,0.35119903087615967,0.43317073583602905,0.35119903087615967,0.0842045247554779,0.3802240505814552,LOW_CANDIDATE
upload.webm · 40fb3383,0.43346306681632996,0.349167138338089,0.43098318576812744,0.349167138338089,0.08429592847824097,0.3781747370958328,LOW_CANDIDATE
upload.webm · 95b54db5,0.42666715383529663,0.3417434096336365,0.4231526255607605,0.3417434096336365,0.08492374420166016,0.3707638144493103,LOW_CANDIDATE
upload.webm · c3fca76b,0.4468540549278259,0.330434113740921,0.42804139852523804,0.330434113740921,0.11641994118690491,0.3674185618758201,LOW_CANDIDATE
upload.webm · ed401e19,0.38922399282455444,0.3480468988418579,0.40600448846817017,0.3480468988418579,0.04117709398269653,0.36581498086452485,LOW_CANDIDATE
upload.wav · c1f4910e,0.3340493440628052,0.4063352346420288,0.40771910548210144,0.3340493440628052,0.07228589057922363,0.35962617993354795,LOW_CANDIDATE
upload.webm · e1c87ca2,0.42205139994621277,0.3257784843444824,0.4118191599845886,0.3257784843444824,0.09627291560173035,0.3574275568127632,LOW_CANDIDATE
upload.webm · 70479ec6,0.34657227993011475,0.35127049684524536,0.38429194688796997,0.34657227993011475,0.004698216915130615,0.35482094585895535,LOW_CANDIDATE
upload.wav · 442202fc,0.3317120671272278,0.3915702700614929,0.3983011841773987,0.3317120671272278,0.05985820293426514,0.3540086209774017,LOW_CANDIDATE
upload.webm · d399575e,0.47543346881866455,0.3019157648086548,0.42807504534721375,0.3019157648086548,0.17351770401000977,0.35317527651786806,LOW_CANDIDATE
upload.wav · a77ba822,0.3298639953136444,0.39082348346710205,0.39687222242355347,0.3298639953136444,0.06095948815345764,0.35240956395864487,LOW_CANDIDATE
upload.wav · 9e6b39da,0.3298640251159668,0.3908233940601349,0.3968721628189087,0.3298640251159668,0.06095936894416809,0.3524095579981804,LOW_CANDIDATE
upload.wav · 8b561778,0.3353041410446167,0.3533015549182892,0.37920525670051575,0.3353041410446167,0.017997413873672485,0.34678397625684737,LOW_CANDIDATE
upload.wav · 90ac5e34,0.33521974086761475,0.3530782163143158,0.3790358006954193,0.33521974086761475,0.01785847544670105,0.3466617241501808,LOW_CANDIDATE
upload.webm · 7abf49d0,0.4134138822555542,0.3072376549243927,0.39685243368148804,0.3072376549243927,0.1061762273311615,0.34108704477548596,LOW_CANDIDATE
upload.wav · d46938ba,0.31781119108200073,0.3744162917137146,0.3811997175216675,0.31781119108200073,0.05660510063171387,0.33897966146469116,LOW_CANDIDATE
upload.webm · a29f829e,0.47464868426322937,0.2826968729496002,0.4170593023300171,0.2826968729496002,0.19195181131362915,0.33836213052272796,LOW_CANDIDATE
upload.webm · d03ad168,0.4273948073387146,0.2903091311454773,0.39522919058799744,0.2903091311454773,0.1370856761932373,0.3318559944629669,LOW_CANDIDATE
upload.wav · cfc6b206,0.3106842041015625,0.3659909963607788,0.37263527512550354,0.3106842041015625,0.05530679225921631,0.3313704371452332,LOW_CANDIDATE
upload.webm · 1a0be83c,0.3106841444969177,0.36599087715148926,0.37263521552085876,0.3106841444969177,0.05530673265457153,0.33137036859989166,LOW_CANDIDATE
upload.webm · b960707a,0.4113350212574005,0.2826204001903534,0.3821512460708618,0.2826204001903534,0.12871462106704712,0.32183376252651213,LOW_CANDIDATE
upload.webm · d395d6bc,0.4010053277015686,0.27693480253219604,0.37333187460899353,0.27693480253219604,0.12407052516937256,0.31482479572296146,LOW_CANDIDATE
upload.webm · 36a7bd42,0.30597934126853943,0.2979898452758789,0.33259713649749756,0.2979898452758789,0.007989495992660522,0.3061097279191017,LOW_CANDIDATE
upload.webm · 357eeb64,0.3894890248775482,0.2547668516635895,0.35478243231773376,0.2547668516635895,0.13472217321395874,0.29497829377651213,LOW_CANDIDATE
upload.webm · c5cd93ed,0.34663307666778564,0.24731136858463287,0.32707667350769043,0.24731136858463287,0.09932170808315277,0.2781626857817173,LOW_CANDIDATE
upload.webm · aba38287,0.3423229455947876,0.22284920513629913,0.31123220920562744,0.22284920513629913,0.11947374045848846,0.25844686701893804,LOW_CANDIDATE
upload.webm · 7436d634,0.30257755517959595,0.22008900344371796,0.28782495856285095,0.22008900344371796,0.08248855173587799,0.24600947722792627,LOW_CANDIDATE
upload.webm · bdb75679,0.31631943583488464,0.19642536342144012,0.2823612093925476,0.19642536342144012,0.11989407241344452,0.23159664347767828,LOW_CANDIDATE
upload.webm · f19129f7,0.3406692445278168,0.17336314916610718,0.28307023644447327,0.17336314916610718,0.1673060953617096,0.22040048092603684,LOW_CANDIDATE
upload.wav · ca43bc2b,0.1889795958995819,0.2056971788406372,0.2173428237438202,0.1889795958995819,0.016717582941055298,0.19715987890958786,LOW_CANDIDATE
upload.webm · a69d81db,0.24157220125198364,0.17289508879184723,0.22824116051197052,0.17289508879184723,0.06867711246013641,0.19426587000489234,LOW_CANDIDATE
upload.webm · c5b20be3,0.19615888595581055,0.16950413584709167,0.2013653814792633,0.16950413584709167,0.026654750108718872,0.17987459748983384,LOW_CANDIDATE
테스트.m4a,0.3205527663230896,0.10758904367685318,0.2357715368270874,0.10758904367685318,0.21296372264623642,0.16517010070383548,LOW_CANDIDATE
upload.webm · 882c5cd5,0.26400241255760193,0.12183521687984467,0.21247521042823792,0.12183521687984467,0.14216719567775726,0.1612882949411869,LOW_CANDIDATE
upload.webm · b4b7ce27,0.20399363338947296,0.11534775793552399,0.17585670948028564,0.11534775793552399,0.08864587545394897,0.14074642956256866,LOW_CANDIDATE
upload.webm · c8d4b24b,0.2614479660987854,0.08615294098854065,0.1914188265800476,0.08615294098854065,0.17529502511024475,0.13350037187337876,LOW_CANDIDATE
upload.webm · 37db691d,0.20901170372962952,0.08762417733669281,0.1633530855178833,0.08762417733669281,0.1213875263929367,0.12097808793187141,LOW_CANDIDATE
upload.webm · b9ff5bf0,0.18415702879428864,0.033548012375831604,0.11988703906536102,0.033548012375831604,0.15060901641845703,0.07340717017650604,LOW_CANDIDATE
upload.webm · c1815547,0.020943567156791687,0.15510983765125275,0.09695007652044296,0.020943567156791687,0.13416627049446106,0.0562698096036911,LOW_CANDIDATE
upload.webm · e67deea6,0.05520970746874809,0.04112565889954567,0.05305050313472748,0.04112565889954567,0.014084048569202423,0.04562323503196239,LOW_CANDIDATE
