filename,audio_id,segment_median_drowning,segment_median_movie,segment_support,segment_top_q,status
upload.webm · 1a0be83c,1a0be83ce9c6,0.4196666181087494,0.4344772398471832,0.0,0.4270719289779663,LOW_CANDIDATE
upload.webm · b960707a,b960707ab2f6,0.30591002106666565,0.2692093849182129,0.0,0.3561104089021683,LOW_CANDIDATE
upload.webm · d395d6bc,d395d6bc40d4,0.396484911441803,0.3202420771121979,0.0,0.36565425992012024,LOW_CANDIDATE
upload.webm · 36a7bd42,36a7bd4286b4,0.23633429408073425,0.2832910120487213,0.0,0.298533096909523,LOW_CANDIDATE
upload.webm · 357eeb64,357eeb649bd6,0.35395458340644836,0.2786712646484375,0.0,0.3575166165828705,LOW_CANDIDATE
upload.webm · c5cd93ed,c5cd93ed40a3,0.29014572501182556,0.34324395656585693,0.0,0.36652688682079315,LOW_CANDIDATE
upload.webm · aba38287,aba38287641d,0.29403144121170044,0.2193070352077484,0.0,0.2824544608592987,LOW_CANDIDATE
upload.webm · 7436d634,7436d634b9bf,0.2819078862667084,0.27672910690307617,0.0,0.3126038759946823,LOW_CANDIDATE
upload.webm · bdb75679,bdb75679732a,0.27637773752212524,0.22513392567634583,0.0,0.2727143317461014,LOW_CANDIDATE
upload.webm · f19129f7,f19129f7b4dc,0.2593916654586792,0.1829398274421692,0.0,0.2735683172941208,LOW_CANDIDATE
upload.wav · ca43bc2b,ca43bc2b048b,0.31244927644729614,0.31841620802879333,0.0,0.31543274223804474,LOW_CANDIDATE
upload.webm · a69d81db,a69d81db3e48,0.2053823322057724,0.19631442427635193,0.0,0.22440481185913086,LOW_CANDIDATE
upload.webm · c5b20be3,c5b20be3c802,0.1965232789516449,0.16854041814804077,0.0,0.21103183180093765,LOW_CANDIDATE
테스트.m4a,0ada85fffc84,0.3178890347480774,0.16212335228919983,0.0,0.26217901706695557,LOW_CANDIDATE
upload.webm · 882c5cd5,882c5cd5a0c8,0.3023416996002197,0.21664300560951233,0.0,0.32398782670497894,LOW_CANDIDATE
upload.webm · b4b7ce27,b4b7ce279c98,0.22623850405216217,0.18893378973007202,0.0,0.26073605567216873,LOW_CANDIDATE
upload.webm · c8d4b24b,c8d4b24b6f55,0.2338988482952118,0.15110968053340912,0.0,0.2645748034119606,LOW_CANDIDATE
upload.webm · 37db691d,37db691d1416,0.22701144218444824,0.15911893546581268,0.0,0.25433097779750824,LOW_CANDIDATE
upload.webm · b9ff5bf0,b9ff5bf02262,0.18555277585983276,0.1641872227191925,0.0,0.19184502959251404,LOW_CANDIDATE
upload.webm · c1815547,c1815547c828,0.13266225159168243,0.19695067405700684,0.0,0.21051567047834396,LOW_CANDIDATE
upload.webm · e67deea6,e67deea6f112,0.08860121667385101,0.11864946037530899,0.0,0.1273808479309082,LOW_CANDIDATE
