audio_id,00ae450b11f1,07564b6df5b9,0ada85fffc84,0ea5487c229a,0f26db696e8e,10d07cc48c55,1387ae324719,15f8e161f598,16b7e83c0418,1a0be83ce9c6,2c9d61ebb9da,357eeb649bd6,36a7bd4286b4,37db691d1416,3ced1f723c5e,40fb338380cc,442202fca595,54b972ad300a,5662e8094f66,5e7819c3abb4,5fdfa9eb73e5,6b3aa0d0ddfb,6fb8c8208c80,70479ec67665,7436d634b9bf,7abf49d0b4cd,7b8c45cdd16b,8156c1254947,882c5cd5a0c8,8b5617784c9c,90147c986aae,90ac5e34aedd,95b54db5ba3d,983379d1fe46,99023e55f0f5,9e6b39daf637,a29f829eedd0,a69d81db3e48,a77ba822cbfe,a7c957603751,a888cb14dd6a,aba38287641d,aef8b974cfb0,b4b7ce279c98,b960707ab2f6,b9ff5bf02262,bdb75679732a,c01fc220195f,c1815547c828,c1f4910eafe2,c3fca76b89b8,c5b20be3c802,c5cd93ed40a3,c8d4b24b6f55,ca43bc2b048b,cfc6b206e99b,d03ad168d8d7,d241c8e7a734,d395d6bc40d4,d399575eeebe,d46938baf1fc,d5045bc290a1,d87efe3c048b,e1c87ca2521c,e67deea6f112,e8314e2d9fd3,e8b8aa373520,ec93548d279f,ed401e191813,ee4a74e09cc1,f17b7f4ff446,f19129f7b4dc,fadd83f6eb33
2c9d61ebb9da,0.301667,0.204765,0.101814,0.661341,0.555712,0.131603,0.707173,0.352312,0.651443,0.648745,1.000000,0.161898,0.211695,0.229496,0.472504,0.484559,0.660748,0.258069,0.485219,0.417934,0.496422,0.390960,0.520982,0.288006,0.125282,0.199996,0.654610,0.523718,0.203873,0.606765,0.752810,0.606461,0.479592,0.586761,0.392578,0.658525,0.066525,0.059469,0.658525,0.634794,0.651525,0.048599,0.679146,-0.009766,0.279719,0.169324,0.033696,0.655492,-0.044215,0.707562,0.238865,0.058134,0.167159,-0.027590,0.440400,0.648745,0.237744,0.376155,0.209608,0.366039,0.632253,0.463429,0.808139,0.194206,0.009877,0.759832,0.655954,0.469315,0.345019,0.472256,0.293608,0.328329,0.225788
357eeb649bd6,0.465679,0.416222,0.607498,0.157935,0.432632,0.460906,0.164454,0.281656,0.046889,0.042278,0.161898,1.000000,0.390293,0.174904,0.414838,0.364668,0.009866,0.620172,0.182490,0.468465,0.389489,0.264442,0.254767,0.180190,0.773701,0.820500,0.109441,0.328857,0.411469,0.118239,0.020972,0.118459,0.224343,0.490317,0.514963,0.008605,0.699591,0.515115,0.008605,0.345701,0.051123,0.593018,0.122275,0.552029,0.239013,0.159621,0.468528,0.108810,0.234640,0.033299,0.774511,0.291547,0.748610,0.550620,0.020020,0.042278,0.338675,0.439390,0.321855,0.396818,-0.006594,0.423894,0.161845,0.670657,0.211744,0.109986,0.107780,0.314304,0.235106,0.266402,0.372807,0.295992,0.336958
36a7bd4286b4,0.379248,0.521761,0.330519,0.259463,0.281240,0.439430,0.247161,0.230864,0.118903,-0.039165,0.211695,0.390293,1.000000,0.085565,0.319233,0.275957,0.008297,0.349262,0.313066,0.234877,0.305979,0.222113,0.297990,0.221284,0.329794,0.428035,0.135738,0.236066,0.302088,0.152926,0.041786,0.153049,0.240071,0.351639,0.327132,0.013280,0.483926,0.558252,0.013280,0.319768,0.115822,0.584682,0.255822,0.350702,0.348952,0.181467,0.367975,0.134697,0.314740,-0.008375,0.385672,0.332151,0.393544,0.403459,-0.013223,-0.039165,0.375678,0.264097,0.294265,0.301480,0.027513,0.259079,0.228678,0.440213,0.190887,0.321576,0.133417,0.311143,0.355893,0.278604,0.250241,0.270202,0.327595
37db691d1416,0.109644,0.105231,0.095691,0.279486,0.142744,0.180148,0.113145,0.130622,0.235614,0.169713,0.229496,0.174904,0.085565,1.000000,0.150871,0.397729,0.192400,0.201526,0.243655,0.107032,0.209012,0.265816,0.087624,0.120426,0.237730,0.227892,0.197320,0.134429,0.458142,0.178529,0.121970,0.178477,0.208609,0.319527,0.228991,0.192130,0.224504,0.144189,0.192130,0.132285,0.233826,0.017953,0.125069,0.250161,0.280617,0.278805,0.193426,0.197525,0.223377,0.176295,0.225879,0.141681,0.226749,0.120356,0.078842,0.169713,0.248707,0.163848,0.119962,0.428499,0.192165,0.161490,0.266292,0.223256,0.172515,0.228125,0.197707,0.160720,0.294527,0.264835,0.184917,0.428158,0.134711
3ced1f723c5e,0.600243,0.476190,0.301452,0.421551,0.810245,0.526029,0.678178,0.404839,0.366039,0.332437,0.472504,0.414838,0.319233,0.150871,1.000000,0.429516,0.357200,0.607669,0.503943,0.769595,0.859642,0.385852,0.725512,0.336375,0.370053,0.486011,0.363961,0.832428,0.273183,0.330245,0.392515,0.330232,0.414649,0.524578,0.660131,0.355421,0.468170,0.262683,0.355421,0.785612,0.365293,0.361885,0.615456,0.251817,0.370945,0.181346,0.276311,0.364650,0.069513,0.357538,0.537681,0.267713,0.444111,0.255213,0.238899,0.332437,0.403744,0.513958,0.414374,0.446288,0.339020,0.831427,0.445999,0.507544,0.092319,0.510791,0.365314,0.686897,0.367017,0.502392,0.575092,0.334164,0.427756
40fb338380cc,0.346369,0.302194,0.228135,0.533229,0.513904,0.252524,0.406221,0.364602,0.275928,0.145670,0.484559,0.364668,0.275957,0.397729,0.429516,1.000000,0.198276,0.380857,0.353764,0.338438,0.433463,0.320198,0.349167,0.190378,0.391680,0.396339,0.280570,0.455026,0.493141,0.266517,0.192224,0.266632,0.551357,0.621386,0.374049,0.200897,0.271582,0.268990,0.200897,0.460299,0.277449,0.159940,0.400995,0.277568,0.339947,0.394956,0.192509,0.280563,0.041509,0.167762,0.380402,0.204209,0.288583,0.183662,0.106828,0.145670,0.422550,0.363509,0.320161,0.540827,0.206442,0.441007,0.517703,0.279002,0.081253,0.487210,0.280345,0.358436,0.417368,0.348462,0.434023,0.571465,0.377872
442202fca595,0.156620,-0.040899,0.007114,0.381912,0.337551,0.031176,0.513853,0.230582,0.793810,0.917844,0.660748,0.009866,0.008297,0.192400,0.357200,0.198276,1.000000,0.062983,0.311304,0.241204,0.331712,0.202399,0.391570,0.117633,-0.027519,-0.007001,0.709283,0.305812,0.130029,0.658478,0.908971,0.658032,0.210546,0.219302,0.203649,0.998959,-0.049378,-0.101682,0.998959,0.387504,0.796623,-0.095531,0.487420,-0.034408,0.077896,0.122677,-0.138569,0.710420,0.006946,0.927233,0.028090,0.017008,0.023153,-0.125969,0.658005,0.917844,0.042236,0.202238,0.157800,0.119394,0.977835,0.270300,0.525572,0.099242,0.020155,0.520966,0.711685,0.294418,0.114711,0.281674,0.114671,0.177308,0.066624
54b972ad300a,0.628040,0.605775,0.348591,0.288121,0.597071,0.675059,0.362977,0.371172,0.080884,0.070745,0.258069,0.620172,0.349262,0.201526,0.607669,0.380857,0.062983,1.000000,0.489361,0.583667,0.540311,0.385903,0.407496,0.245735,0.584864,0.696166,0.147004,0.582784,0.348819,0.149510,0.064529,0.149647,0.294750,0.480434,0.744682,0.056093,0.553194,0.347669,0.056093,0.475362,0.090403,0.404679,0.292647,0.465654,0.379126,0.130950,0.429956,0.146540,0.206976,0.073535,0.695119,0.281115,0.677201,0.435525,0.116055,0.070745,0.454902,0.527105,0.366175,0.500244,0.022639,0.603717,0.268558,0.681966,0.269664,0.266410,0.145765,0.524020,0.370109,0.393296,0.509250,0.292832,0.483577
5662e8094f66,0.464169,0.414487,0.141409,0.556657,0.445749,0.479430,0.497167,0.268725,0.344093,0.238583,0.485219,0.182490,0.313066,0.243655,0.503943,0.353764,0.311304,0.489361,1.000000,0.387103,0.526457,0.491228,0.463640,0.331021,0.217865,0.335171,0.326901,0.482181,0.263728,0.312416,0.322652,0.312408,0.423156,0.529693,0.538722,0.307982,0.246743,0.186651,0.307983,0.515986,0.325970,0.156694,0.531873,0.176413,0.450626,0.198293,0.267998,0.326807,0.191287,0.286756,0.370758,0.150642,0.278239,0.166942,0.287229,0.238583,0.397004,0.326269,0.384891,0.463513,0.301851,0.475054,0.510498,0.376867,0.081726,0.504833,0.326690,0.461160,0.401564,0.578650,0.429284,0.335931,0.280942
5e7819c3abb4,0.503410,0.506403,0.253004,0.276184,0.784721,0.491038,0.587583,0.364170,0.233902,0.262067,0.417934,0.468465,0.234877,0.107032,0.769595,0.338438,0.241204,0.583667,0.387103,1.000000,0.692987,0.353007,0.688046,0.259945,0.423538,0.500945,0.303440,0.790843,0.196464,0.264129,0.313952,0.264023,0.341577,0.463040,0.534549,0.236641,0.495979,0.256451,0.236641,0.708871,0.246889,0.351570,0.495013,0.237134,0.294661,0.156058,0.351572,0.304481,0.093741,0.298715,0.498190,0.222209,0.429690,0.272501,0.150632,0.262067,0.381516,0.587206,0.263358,0.344128,0.212570,0.743135,0.335888,0.456146,0.038026,0.367829,0.305378,0.622742,0.312264,0.488218,0.506156,0.212795,0.466786
