audio_id,filename,nearest_neighbor,nearest_similarity,nn2,nn2_sim
c1f4910eafe2,upload.wav · c1f4910e,upload.wav · cfc6b206,0.9636086768465191,upload.webm · 1a0be83c,0.9636086677524204
c3fca76b89b8,upload.webm · c3fca76b,upload.webm · 7abf49d0,0.8717539680939463,upload.webm · c5cd93ed,0.8162645954827645
c5b20be3c802,upload.webm · c5b20be3,upload.webm · b4b7ce27,0.5294714689722603,upload.webm · aba38287,0.43528548970143166
c5cd93ed40a3,upload.webm · c5cd93ed,upload.webm · 7abf49d0,0.8227200884799359,upload.webm · c3fca76b,0.8162645954827645
c8d4b24b6f55,upload.webm · c8d4b24b,upload.webm · a29f829e,0.6907765620023018,upload.webm · aba38287,0.6896062451324588
ca43bc2b048b,upload.wav · ca43bc2b,upload.wav · c1f4910e,0.6962612435368603,upload.wav · 442202fc,0.6580046542723509
cfc6b206e99b,upload.wav · cfc6b206,upload.webm · 1a0be83c,0.9999999999978633,upload.wav · c1f4910e,0.9636086768465191
d03ad168d8d7,upload.webm · d03ad168,upload.webm · d399575e,0.5298236088027549,upload.webm · b960707a,0.5096367105301346
d241c8e7a734,기모그.m4a,I'llneverloveagain.m4a,0.6929685037056718,요즘 바쁜가봐.m4a,0.6359106561521041
d395d6bc40d4,upload.webm · d395d6bc,upload.webm · ed401e19,0.5119648174130398,upload.webm · d399575e,0.48202864660836453
d399575eeebe,upload.webm · d399575e,upload.webm · b960707a,0.6118787601242014,upload.webm · ed401e19,0.5990768511933167
d46938baf1fc,upload.wav · d46938ba,upload.wav · a77ba822,0.9850495906148908,upload.wav · 9e6b39da,0.9850495631442466
d5045bc290a1,거의동115.m4a,거의동116.m4a,0.8314273317668422,좋은사람.m4a,0.7965740833282141
d87efe3c048b,upload.webm · d87efe3c,upload.webm · 2c9d61eb,0.8081388400130096,upload.webm · e8314e2d,0.7447256933742458
e1c87ca2521c,upload.webm · e1c87ca2,upload.webm · c3fca76b,0.7071222629516374,upload.webm · c5cd93ed,0.6951201374559011
e67deea6f112,upload.webm · e67deea6,upload.webm · c1815547,0.5886940679016051,upload.webm · b4b7ce27,0.4558327629391809
e8314e2d9fd3,upload.webm · e8314e2d,upload.webm · 2c9d61eb,0.7598315341730157,upload.webm · d87efe3c,0.7447256933742458
e8b8aa373520,upload.wav · e8b8aa37,upload.webm · c01fc220,0.9999501343122433,upload.wav · 7b8c45cd,0.9998424680567862
ec93548d279f,옥탑방.m4a,거의동117.m4a,0.827217627965371,movie.m4a,0.7462306860870719
ed401e191813,upload.webm · ed401e19,upload.webm · d399575e,0.5990768511933167,upload.webm · b960707a,0.5299092911288223
ee4a74e09cc1,upload.webm · ee4a74e0,upload.webm · f17b7f4f,0.6018899572694878,upload.webm · 5662e809,0.5786498704398368
f17b7f4ff446,upload.webm · f17b7f4f,호흡많고헤드.m4a,0.6580907694332244,I'llneverloveagain.m4a,0.6569085744694304
f19129f7b4dc,upload.webm · f19129f7,upload.webm · b9ff5bf0,0.7000041145437997,upload.webm · d399575e,0.5906376826888047
fadd83f6eb33,가없너.m4a,기모그.m4a,0.6294508080994798,I'llneverloveagain.m4a,0.5583680577172965
