audio_id,sha256,filename,path,quality,segment_count,used_segment_count
d03ad168d8d7,d03ad168d8d7335e0d42d5c4d570ef28f2d88ad292fe08088fe958f4127e1eeb,upload.webm · d03ad168,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\siren\attempt_1\upload.webm,FAIR,3,2
d241c8e7a734,d241c8e7a7346bebe1b5802d5a43a11422aa50635f969c5c8842fb58cb7acb88,기모그.m4a,C:\VocalAgent\기모그.m4a,GOOD,12,11
d395d6bc40d4,d395d6bc40d49d0f06025972fc451fb251f1a8da04a06ee8b7abe45165e8593b,upload.webm · d395d6bc,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\dynamic_swell\attempt_1\upload.webm,FAIR,2,2
d399575eeebe,d399575eeebed9ee5739df586f8851dd6f04620a466e634b85e97b81e9541a9d,upload.webm · d399575e,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\siren\attempt_1\upload.webm,FAIR,3,2
d46938baf1fc,d46938baf1fc1019581e15818aac59d87cb4b5c18d1e0c88f40d3e815dedc149,upload.wav · d46938ba,C:\VocalAgent\runtime\5f423fdb91574d9b9df7dbeee9b18f0f\upload.wav,POOR,1,1
d5045bc290a1,d5045bc290a1db899886e391482c0077ddbedfe07f41c5a4bdb396fedc496ddc,거의동115.m4a,C:\VocalAgent\거의동115.m4a,GOOD,12,12
d87efe3c048b,d87efe3c048b3a701e13327d22bccf4a2d3d464e5b208b9252482cb702fb032d,upload.webm · d87efe3c,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_a\attempt_1\upload.webm,FAIR,4,3
e1c87ca2521c,e1c87ca2521c111be9167e088e3dce3a15d6ec95a01420423bcc991f36d002ca,upload.webm · e1c87ca2,C:\VocalAgent\runtime\78510f3622e64f1dbe00be542b3fdaa9\upload.webm,GOOD,11,10
e67deea6f112,e67deea6f1126c7d63afbe0ff54464384a4e7405a48a5c4f399e5cb44cd425a7,upload.webm · e67deea6,C:\VocalAgent\runtime\8d5a87bf67a04919a8e39245a47de599\upload.webm,GOOD,6,4
e8314e2d9fd3,e8314e2d9fd3aea07b95ae46ce1b342e1388cb465f048fa47d7954e0f3399e73,upload.webm · e8314e2d,C:\VocalAgent\runtime\diagnostic_sessions\ba62f95fa43f43688d0dcd34aa0b336c\tasks\sustain_a\attempt_1\upload.webm,FAIR,3,2
e8b8aa373520,e8b8aa37352029f955420e5e5a5d98ba9dcf3a52913aa1630f8a89515c0b55dc,upload.wav · e8b8aa37,C:\VocalAgent\runtime\0cd50917f9ed40d1a9e62a9f5904268f\upload.wav,GOOD,12,10
ec93548d279f,ec93548d279f509b476fc928b507301e8c6ab030d9084471f5c2d38419234187,옥탑방.m4a,C:\VocalAgent\옥탑방.m4a,GOOD,12,9
ed401e191813,ed401e191813a304b8ea3194ffed35ed285e33b948375a727a1e30698ca8a78a,upload.webm · ed401e19,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\siren\attempt_1\upload.webm,FAIR,4,3
ee4a74e09cc1,ee4a74e09cc1d3a84c8dd5f05069b2a31884a3f4bf5909010b4c42814462900f,upload.webm · ee4a74e0,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_i\attempt_1\upload.webm,FAIR,3,3
f17b7f4ff446,f17b7f4ff446eac9181094b557eeffb1a3bbb7779174569b763646b06eca7e41,upload.webm · f17b7f4f,C:\VocalAgent\runtime\0ff873201e0f4ce8adeb1f176d39cb16\upload.webm,GOOD,12,10
f19129f7b4dc,f19129f7b4dcc1f99a82aed34988eb263cdec737397d6846d781575f37757671,upload.webm · f19129f7,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\dynamic_swell\attempt_2\upload.webm,GOOD,4,4
fadd83f6eb33,fadd83f6eb3313e95ef6b2600000daf035cbc6aee4b846f479a9c5e882787d16,가없너.m4a,C:\VocalAgent\가없너.m4a,GOOD,12,12
