filename,audio_id,sha256,path,current_cluster,sim_centroid,sim_medoid,sim_k2,sim_k3,mean_similarity_to_confirmed,median_similarity_to_confirmed,min_similarity_to_confirmed,max_similarity_to_confirmed,std_similarity_to_confirmed,support_ratio,status,multi_prototype_only,segment_support,old_v2_rank,old_v2_status,rank
호흡많고헤드.m4a,99023e55f0f5,99023e55f0f5940b7cde7dff7d8abbdf56da3a9903a768a392c02968d42a0ccc,C:\VocalAgent\호흡많고헤드.m4a,speaker_006,0.6397051215171814,0.6083540916442871,0.6608171463012695,0.6608171463012695,0.5546847365119241,0.5559345483779907,0.4310268759727478,0.660130500793457,0.06961788524471318,0.0,BORDERLINE,False,0.14393939393939392,5,BORDERLINE,1
기모그.m4a,d241c8e7a734,d241c8e7a7346bebe1b5802d5a43a11422aa50635f969c5c8842fb58cb7acb88,C:\VocalAgent\기모그.m4a,speaker_010,0.6271569132804871,0.6359106302261353,0.6447279453277588,0.6447279453277588,0.5438042499802329,0.5157740116119385,0.42941904067993164,0.6929685473442078,0.07464858483696087,0.09090909090909091,STYLE_SPECIFIC,False,0.23484848484848486,7,LOW,2
upload.webm,2c9d61ebb9da,2c9d61ebb9da411d4a3b8592d3fc0f7696b4c40a07a88bded722bfab4c114f11,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_i\attempt_1\upload.webm,speaker_025,0.6228878498077393,0.5237178206443787,0.6550658941268921,0.6678106188774109,0.5401025495745919,0.5209819674491882,0.41793376207351685,0.7071725130081177,0.09014231426456772,0.09090909090909091,CONFLICT,False,0.4318181818181818,9,LOW,3
upload.webm,983379d1fe46,983379d1fe46018a844e384f9f0f5648d23d86003365b570f6dde8d7bf41c0ab,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_i\attempt_1\upload.webm,speaker_007,0.6081684231758118,0.5679138898849487,0.6135047078132629,0.6135047078132629,0.5273394069888375,0.5245778560638428,0.449677050113678,0.6046540141105652,0.053318920229354985,0.0,LOW,False,0.2727272727272727,6,LOW,4
upload.webm,ee4a74e09cc1,ee4a74e09cc1d3a84c8dd5f05069b2a31884a3f4bf5909010b4c42814462900f,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_i\attempt_1\upload.webm,speaker_004,0.6068664193153381,0.5451979637145996,0.5873134136199951,0.5873134136199951,0.5262104652144692,0.5417563319206238,0.4809437394142151,0.5650884509086609,0.03221747918604383,0.0,LOW,False,0.30303030303030304,4,LOW,5
upload.webm,e8314e2d9fd3,e8314e2d9fd3aea07b95ae46ce1b342e1388cb465f048fa47d7954e0f3399e73,C:\VocalAgent\runtime\diagnostic_sessions\ba62f95fa43f43688d0dcd34aa0b336c\tasks\sustain_a\attempt_1\upload.webm,speaker_025,0.6060429811477661,0.5200582146644592,0.6490572690963745,0.6623358130455017,0.5254965126514435,0.514394998550415,0.36782947182655334,0.6734825372695923,0.08339323542340747,0.0,LOW,False,0.45454545454545453,14,LOW,6
upload.webm,f17b7f4ff446,f17b7f4ff446eac9181094b557eeffb1a3bbb7779174569b763646b06eca7e41,C:\VocalAgent\runtime\0ff873201e0f4ce8adeb1f176d39cb16\upload.webm,speaker_004,0.5868515968322754,0.5854675769805908,0.6421384811401367,0.6421384811401367,0.5088557032021609,0.5428269505500793,0.356344997882843,0.6569085717201233,0.10107193578707879,0.0,LOW,False,0.045454545454545456,10,LOW,7
편하게.m4a,54b972ad300a,54b972ad300a3466f05c653a20f66b2e247f2ca243cde61dc3e925c627bec230,C:\VocalAgent\편하게.m4a,speaker_006,0.5847870111465454,0.5827842950820923,0.6310393810272217,0.6310393810272217,0.5070655318823728,0.5403106212615967,0.29264724254608154,0.6076686978340149,0.10366605547682771,0.0,LOW,False,0.16666666666666666,15,BORDERLINE,8
목잡이.m4a,00ae450b11f1,00ae450b11f15f53af9e4ea58c4e52d4bdde098e292c5e6530675c775de0fac1,C:\VocalAgent\목잡이.m4a,speaker_020,0.5717846155166626,0.5320228338241577,0.5739637613296509,0.5739637613296509,0.49579122120683844,0.5034098029136658,0.39649081230163574,0.600243330001831,0.06149276443686489,0.0,LOW,False,0.0909090909090909,8,LOW,9
upload.webm,d87efe3c048b,d87efe3c048b3a701e13327d22bccf4a2d3d464e5b208b9252482cb702fb032d,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_a\attempt_1\upload.webm,speaker_025,0.5588542222976685,0.46789345145225525,0.6150038838386536,0.6170980930328369,0.4845793599432165,0.4730404317378998,0.33588841557502747,0.6348206996917725,0.08136597060347565,0.0,LOW,False,0.20454545454545456,20,LOW,10
upload.webm,5662e8094f66,5662e8094f66d3fd27846cd64b216dd557acef7d5817025c677957bea94780f0,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\high_note_sustain_a\attempt_1\upload.webm,speaker_019,0.5546541213989258,0.48218053579330444,0.5385362505912781,0.5362973809242249,0.48093748363581573,0.48218053579330444,0.38710296154022217,0.5318731069564819,0.03983735775873059,0.0,LOW,False,0.22727272727272727,11,LOW,11
Lyrics.mp3,15f8e161f598,15f8e161f5987f8ea83bccbe92a8ac25ac3260cfdb67bbd40483ae76e527e6a9,C:\VocalAgent\Lyrics.mp3,speaker_022,0.5237773656845093,0.4501286745071411,0.5585384368896484,0.5546000599861145,0.4541644128886136,0.4599929749965668,0.36086446046829224,0.5734958648681641,0.061353748897620186,0.0,LOW,False,0.03787878787878787,16,LOW,12
가없너.m4a,fadd83f6eb33,fadd83f6eb3313e95ef6b2600000daf035cbc6aee4b846f479a9c5e882787d16,C:\VocalAgent\가없너.m4a,speaker_010,0.5121482610702515,0.5217462778091431,0.5186759233474731,0.5186759233474731,0.44408089464361017,0.4364728331565857,0.3727090656757355,0.5583680868148804,0.05425617430056211,0.0,LOW,False,0.03787878787878787,12,LOW,13
upload.webm,07564b6df5b9,07564b6df5b9862814817adcb31be945298cd3e956eb859d0ae0f7f336b0506f,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,speaker_020,0.5015410780906677,0.4693482518196106,0.5117071270942688,0.5117071270942688,0.4348834319548173,0.467746376991272,0.25322186946868896,0.5064033269882202,0.06926160955306826,0.0,LOW,False,0.03787878787878787,13,LOW,14
upload.webm,0ea5487c229a,0ea5487c229a9e74970718c68e391de0bbf0126138ab78f21ef76e4e1e407bea,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_a\attempt_1\upload.webm,speaker_025,0.49274641275405884,0.40146833658218384,0.4831971228122711,0.5012767910957336,0.42725763537667016,0.4149359166622162,0.27618440985679626,0.5305418968200684,0.08134886625635016,0.0,LOW,False,0.18181818181818182,30,LOW,15
upload.webm,90147c986aae,90147c986aae93ab817b52c80a3422a2b362c9a172ff602b2d301220117951c6,C:\VocalAgent\runtime\7a90a8f1a59b41c6b0f8e7c678b4a9df\upload.webm,speaker_005,0.48614272475242615,0.3650963306427002,0.5529385209083557,0.5591168403625488,0.42153163660656323,0.3925154209136963,0.31395235657691956,0.6238622665405273,0.09613329361582926,0.0,LOW,False,0.45454545454545453,21,LOW,16
upload.webm,40fb338380cc,40fb338380ccc7353ba5bf76ba5e135e3b8a2b6d0b4ac20b5976be85a6f948d6,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\dynamic_swell\attempt_1\upload.webm,speaker_007,0.4808610677719116,0.45502597093582153,0.48572731018066406,0.48572731018066406,0.41695194894617255,0.42951637506484985,0.3384378254413605,0.5139039158821106,0.05071359136628347,0.0,LOW,False,0.09090909090909091,19,LOW,17
upload.webm,6b3aa0d0ddfb,6b3aa0d0ddfb5566666c3d263cd565600414ee03187045dfa90b2079bdd141af,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\siren\attempt_1\upload.webm,speaker_023,0.4806325435638428,0.42103368043899536,0.4657730460166931,0.4657730460166931,0.41675379601391876,0.42103368043899536,0.35119903087615967,0.4643019437789917,0.038263433240837585,0.0,LOW,False,0.0606060606060606,17,LOW,18
upload.webm,c3fca76b89b8,c3fca76b89b8095917a4c8b97e723c95c1723a105e89535722eeb857aae5c5a8,C:\VocalAgent\runtime\02ca15a9e9a542cf99c19dfd6c9d1fe2\upload.webm,speaker_006,0.4750620126724243,0.4203195571899414,0.5235463976860046,0.5235463976860046,0.4119236008687453,0.4203195571899414,0.2312341034412384,0.5376809239387512,0.09737955613305742,0.0,LOW,False,0.04545454545454545,38,LOW,19
upload.wav,e8b8aa373520,e8b8aa37352029f955420e5e5a5d98ba9dcf3a52913aa1630f8a89515c0b55dc,C:\VocalAgent\runtime\0cd50917f9ed40d1a9e62a9f5904268f\upload.wav,speaker_005,0.4676128029823303,0.3749370574951172,0.5023091435432434,0.5160008668899536,0.40546445413069293,0.3749370574951172,0.30537843704223633,0.5645581483840942,0.07743264951038838,0.0,LOW,False,0.356060606060606,23,LOW,20
upload.webm,c01fc220195f,c01fc220195f24668f8242f622fcaed321c4835de32592ae478c8e34c588a3ca,C:\VocalAgent\runtime\diagnostic_sessions\9794b5ceaddf434d9fcec7115a9be1ea\tasks\sustain_a\attempt_1\upload.webm,speaker_005,0.46672195196151733,0.3740527927875519,0.5019312500953674,0.5157436728477478,0.40469198606230994,0.3740527927875519,0.304480642080307,0.5641863346099854,0.07748752677376108,0.0,LOW,False,0.36363636363636365,24,LOW,21
upload.wav,7b8c45cdd16b,7b8c45cdd16b1f9e08bbf2d6391f364f9bdd303ac58a1f78baa457df76d4f322,C:\VocalAgent\runtime\0cc29f91aee74ab29f02519e3b381df5\upload.wav,speaker_005,0.46577808260917664,0.37304601073265076,0.5013877153396606,0.5153014659881592,0.403873549266295,0.37304601073265076,0.3034403324127197,0.563625156879425,0.07754112452467656,0.0,LOW,False,0.36363636363636365,25,LOW,22
