enrollment_size,n_evaluations,n_combinations,sampling,mean_heldout_similarity,median_heldout_similarity,min_heldout_similarity,p10_heldout_similarity,verification_match_rate,uncertain_rate,nonmatch_rate,mean_margin_to_threshold,worst_case_margin,global_retrieval_top1_rate,global_retrieval_top3_rate,global_retrieval_top5_rate
2,495,55,ALL_COMBINATIONS,0.7827824456523164,0.7911825180053711,0.5656135082244873,0.6986251831054687,0.8464646464646465,0.15353535353535352,0.0,0.06278244565231635,-0.15438649177551267,0.1111111111111111,0.3333333333333333,0.5535353535353535
3,1320,165,ALL_COMBINATIONS,0.8041945378888737,0.8109143376350403,0.6137223243713379,0.7322965145111084,0.9295454545454546,0.07045454545454545,0.0,0.08419453788887374,-0.10627767562866208,0.125,0.375,0.625
4,2310,330,ALL_COMBINATIONS,0.8155588478495033,0.8204590678215027,0.6458855867385864,0.7501680552959442,0.961038961038961,0.03896103896103896,0.0,0.09555884784950325,-0.07411441326141355,0.14285714285714285,0.42857142857142855,0.7142857142857143
5,2772,462,ALL_COMBINATIONS,0.8226087155495199,0.8263091444969177,0.6651274561882019,0.7594486474990845,0.9794372294372294,0.020562770562770564,0.0,0.10260871554951995,-0.05487254381179807,0.16666666666666666,0.5,0.8333333333333334
6,2310,462,ALL_COMBINATIONS,0.8274103335745923,0.8309201896190643,0.6792702674865723,0.7678963601589203,0.9913419913419913,0.008658008658008658,0.0,0.10741033357459233,-0.04072973251342771,0.2,0.6,1.0
7,1320,330,ALL_COMBINATIONS,0.8308916737635931,0.8344023525714874,0.7027412056922913,0.7711614489555358,0.9962121212121212,0.003787878787878788,0.0,0.11089167376359306,-0.017258794307708714,0.25,0.75,1.0
8,495,165,ALL_COMBINATIONS,0.8335316234164768,0.8362250328063965,0.7230647802352905,0.7741423010826111,1.0,0.0,0.0,0.1135316234164768,0.003064780235290554,0.3333333333333333,1.0,1.0
9,110,55,ALL_COMBINATIONS,0.8356023940173063,0.8366179466247559,0.7395380139350891,0.7791927576065063,1.0,0.0,0.0,0.11560239401730624,0.019538013935089138,0.5,1.0,1.0
10,11,11,ALL_COMBINATIONS,0.8372701948339288,0.8330850601196289,0.7645729780197144,0.7885223627090454,1.0,0.0,0.0,0.11727019483392892,0.04457297801971438,1.0,1.0,1.0
