strategy,loo_match_rate,loo_match_count,mean_similarity,min_similarity,hard_positive_mean,love_again_score,production_default,experimental_only
SINGLE_CENTROID,1.0,11,0.8372701948339288,0.7645729780197144,0.7843305269877116,0.7645729780197144,True,False
MEDOID,0.8181818181818182,9,0.7823214585130865,0.6873989105224609,0.7311418851216634,0.6873989105224609,False,True
MULTI_PROTOTYPE_K2,1.0,11,0.8543455383994363,0.7992478609085083,0.8185768326123556,0.8115379214286804,False,True
MULTI_PROTOTYPE_K3,1.0,11,0.8479599519209429,0.7987347841262817,0.8099722266197205,0.8115379214286804,False,True
